ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_test_spikes,num_test_samples,precision,recall,f1,roc_auc,pr_auc
ABT,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,14,125,0.3333333333333333,0.35714285714285715,0.3448275862068966,0.6885456885456884,0.42168466960817474
AMD,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,17,173,0.10638297872340426,0.29411764705882354,0.15625,0.5086726998491704,0.12045141501616369
AMGN,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,13,77,0.26666666666666666,0.3076923076923077,0.2857142857142857,0.5552884615384615,0.340917730475677
AXP,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,85,0.2857142857142857,0.4,0.3333333333333333,0.7,0.3859819734345351
BAC,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,105,0.13333333333333333,0.2222222222222222,0.16666666666666666,0.587962962962963,0.14357449184709864
BX,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,86,0.13725490196078433,0.7,0.22950819672131148,0.7223684210526315,0.49121236308143323
C,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,100,0.23076923076923078,0.3333333333333333,0.2727272727272727,0.7167277167277166,0.22514067097247203
ABT,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,125,0.36363636363636365,0.4,0.38095238095238093,0.6852173913043478,0.34346484114089404
AMD,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,13,173,0.09259259259259259,0.38461538461538464,0.14925373134328357,0.5350961538461538,0.10781859559904533
AMGN,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,11,77,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.6707988980716253,0.43596835092882524
AXP,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,85,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.6703296703296704,0.16171333576239283
BAC,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,105,0.125,0.16666666666666666,0.14285714285714285,0.5673400673400674,0.12840070380081758
BX,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,86,0.1388888888888889,0.8333333333333334,0.23809523809523808,0.7770833333333333,0.45869990224828927
C,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,100,0.0,0.0,0.0,0.4869791666666667,0.04628679286574024
ABT,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,125,0.1111111111111111,0.16666666666666666,0.13333333333333333,0.5770308123249299,0.09176923456584474
AMD,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,173,0.07692307692307693,0.5,0.13333333333333333,0.6437125748502994,0.07567229444233838
AMGN,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,77,0.14285714285714285,0.4,0.21052631578947367,0.7333333333333334,0.3161111111111111
AXP,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,85,0.0,0.0,0.0,0.6234567901234568,0.09343019049915602
BAC,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,105,0.14285714285714285,0.2,0.16666666666666666,0.6859999999999999,0.18511904761904763
BX,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,86,0.06896551724137931,0.6666666666666666,0.125,0.6746987951807228,0.22282608695652173
C,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,100,0.0,0.0,0.0,0.6363636363636364,0.02702702702702703
ABT,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,125,0.0,0.0,0.0,0.6048387096774194,0.02
AMD,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,173,0.058823529411764705,0.4,0.10256410256410256,0.6773809523809524,0.06643496912241482
AMGN,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,77,0.1111111111111111,0.5,0.18181818181818182,0.8133333333333334,0.5333333333333333
AXP,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,85,0.0,0.0,0.0,0.5180722891566265,0.059343434343434344
BAC,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,105,0.25,0.5,0.3333333333333333,0.7330097087378641,0.26785714285714285
BX,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,0,86,,,,,
C,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,0,100,,,,,
