ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_spike_samples,ts_only_mae,embedding_mae,mae_improvement_pct,underprediction_reduction
ABT,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,14,0.5620180193370048,0.5516576097502005,1.8434301446466326,0.010360409586804334
AMD,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,17,0.6041335454385347,0.5937350819638351,1.7212193484722809,0.010398463474699624
AMGN,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,13,0.5839499216471353,0.5583819761392753,4.378448315523538,0.025567945507860054
AXP,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,0.6462206533101934,0.6452047982512648,0.15719941071599075,0.0010158550589286718
BAC,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,0.7376931090287666,0.7321603898168987,0.7500028323637467,0.005532719211867882
BX,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,0.39134399083647553,0.3769226419271987,3.685082496974595,0.014513134676463757
C,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,0.4886474269940243,0.48583354199429224,0.5758517991268324,0.002813884999732144
ABT,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,0.6326689371777252,0.6199795402719588,2.005693050519059,0.012689396905766426
AMD,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,13,0.6368999701477859,0.6265263012935436,1.6287752143928018,0.01037366885424235
AMGN,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,11,0.5972261951454987,0.5696431326699526,4.618528574224076,0.027583062475546025
AXP,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,0.7790123383130497,0.7775806401534167,0.18378375915500986,0.0014316981596331452
BAC,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,0.8629425569370781,0.8489075620212913,1.6264112602816305,0.014034994915787044
BX,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,0.4191873896020832,0.39839591251986667,4.959948127722302,0.02094445336086137
C,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,0.7403898281831056,0.735562332198539,0.6520208410227887,0.004827495984566665
ABT,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,0.8662846179200151,0.8577331019782791,0.9871485381177051,0.008551515941736199
AMD,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,0.7986908933631663,0.7895273426494077,1.1473212966248187,0.009163550713758628
AMGN,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,0.7401301966556576,0.6866250013614799,7.229159887806984,0.05350519529417781
AXP,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,0.9149140832687737,0.9278928786949909,-1.41858078955863,-0.012978795426217271
BAC,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,0.8830063770763807,0.8658775556261272,1.9398298692889122,0.01712882145025372
BX,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,0.5959605528885588,0.5728334864029142,3.8806371283384564,0.023127066485644516
C,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,0.9241820403033101,0.9298072755027045,-0.6086717718024723,-0.005625235199394396
ABT,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,1.0232591473116193,1.0505213101996453,-2.664248148638711,-0.027262162888026076
AMD,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,0.8686390617130246,0.8607931518666906,0.9032416560753428,0.00784590984633402
AMGN,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,0.8572607141579454,0.8119733742202953,5.282796608979585,0.045287339937650106
AXP,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,1.0188047690991309,1.0481710927531638,-2.8824289544698365,-0.02936632365403291
BAC,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,1.1390909327769498,1.123452857101566,1.372855776953668,0.015638075675383778
ABT,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,0.5812035140558642,0.5807700456130337,0.07458118066176699,0.00043346844283060905
AMD,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,20,0.6130731960405776,0.618491985716432,-0.8838731999458924,-0.005418789675854474
AMGN,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,0.6176728055449523,0.6091410414012435,1.3812756636066448,0.00853176414370882
AXP,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,0.863204083330072,0.8503824850681058,1.48534958413346,0.012821598261966272
BAC,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,0.7105616199097647,0.7095608863909816,0.1408369789111666,0.0010007335187831906
BX,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,0.5326304104925836,0.5245743835573724,1.5124984936104033,0.012271988872216219
C,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,0.6449256551447198,0.6160101107585774,4.483546925986969,0.028915544386142522
ABT,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,0.7043317084518211,0.6755150788167485,4.0913435089290395,0.028816629635072626
AMD,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,14,0.6674724687930441,0.6685726848018884,-0.1648331669519957,-0.0011002160088443094
AMGN,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,0.6448734654610025,0.6345703837180403,1.5976904454576752,0.010303081742962239
AXP,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,0.9457261966618753,0.9256425374720667,2.1236230169681005,0.02008365918980859
BAC,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,0.8117910153010023,0.7999807811709887,1.4548367630842152,0.01181023413001352
BX,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,0.6131236700806618,0.5999310218563332,2.151710799648794,0.013192648224328578
C,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,0.7807717070891225,0.750600484602159,3.864282249602511,0.030171222486963467
ABT,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,0.9270294448927492,0.9033727152656161,2.551885461401927,0.023656729627133055
AMD,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,0.8872633855122469,0.8886856519853655,-0.160298113992102,-0.0014222664731186423
AMGN,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,0.6283190808500185,0.6623968248078222,-5.423636651572288,-0.03407774395780372
AXP,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,1.1005966607601765,1.0927860764944552,0.70966817765252,0.007810584265721232
BAC,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,1.0933454778914515,1.0853158078746128,0.7344128803938709,0.008029670016838667
BX,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,0.6321752616522828,0.6169547820059431,2.4076360733507194,0.015220479646339621
C,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,0.8318629655790103,0.7701912378937955,7.413688340156935,0.06167172768521478
ABT,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,1.0276705618993436,0.9974183683459437,2.943763758055668,0.03025219355339992
AMD,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,0.9456344229299953,0.9422437364962771,0.35856207763803183,0.0033906864337181373
AXP,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,1.087494897991131,1.0858422448358604,0.1519688191938534,0.0016526531552705965
BAC,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,1.2828557361827784,1.2602792669407092,1.75986033388656,0.02257646924206913
BX,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,0.7731724747526869,0.7276143004950455,5.892368875678614,0.045558174257641415
C,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,0.703203212709496,0.5959903595804144,15.246354281571373,0.10721285312908169
ABT,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,2.1286364484420703,2.176396831712439,-2.2437078583956396,-0.047760383270368995
AMD,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,23,2.307253961053972,2.250327212772243,2.4672944219683854,0.056926748281729236
AMGN,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,19,2.011413646066492,1.9671835974477536,2.198953393064344,0.04423004861873776
AXP,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,1.7821010496831318,1.5613194490378148,12.38883736051742,0.2207816006453168
BAC,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,20,2.100610763211964,2.0298095164136294,3.370507665593175,0.07652425540575625
BX,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,1.9234859842492633,1.948896781672833,-1.321080456611053,-0.02541079742356954
C,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,1.6156311430140455,1.6334845556154782,-1.105042613137935,0.018621453561805577
ABT,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,2.1113127479317466,2.0991602772043763,0.5755883745444621,0.012152470727369961
AMD,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,2.484229061984355,2.4706796235395676,0.545418240698157,0.013549438444787131
AMGN,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,16,2.2078219901307676,2.100828224312318,4.846122843993981,0.10699376581844988
AXP,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,1.81726961331852,1.6883272446764979,7.095390122468409,0.12894236864202213
BAC,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,2.1518630441143594,2.1076190587918866,2.056078124650457,0.05291911464915685
BX,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,2.137433607039107,2.182562948932174,-2.111379822252474,-0.045129341893066846
C,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,1.550942236156938,1.5037619326579983,3.0420413087625553,0.09928725516070884
ABT,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,2.4480962642437913,2.396668643107246,2.10071890912472,0.051427621136545344
AMD,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,2.5726500221830615,2.502802872680519,2.7149883933016548,0.0698471495025426
AMGN,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,2.3357238502496087,2.1938451872420175,6.074290973756562,0.14187866300759133
AXP,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,1.81726961331852,1.6883272446764979,7.095390122468409,0.12894236864202213
BAC,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,2.2167686684763956,2.2066747798944166,0.4553424417044216,0.024965538856294094
BX,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,2.201106277316613,1.9539483859555422,11.228803166305221,0.24715789136107097
C,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,1.695038468780017,1.6667795907941412,1.6671526048736154,0.07472136846211903
ABT,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,2.345691316634381,2.377547686753917,-1.358080233900684,-0.03185637011953624
AMD,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,2.90282232098065,2.926824317225883,-0.8268503405032599,-0.024001996245232502
AMGN,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,2.9458166120306295,2.7919320286127016,5.223834463743184,0.15388458341792788
AXP,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,1.9015547102869845,1.5337936619535408,19.340019319136015,0.3677610483334437
BAC,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,3.0936636881111994,2.9557248446644735,4.458753676969422,0.1379388434467259
BX,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,2.413591038692463,2.103950903726072,12.829022398680065,0.3096401349663904
C,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,0.3871329009508724,0.232312452381215,39.99155023749952,0.3871329009508724
ABT,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,24,1.4698385170987622,1.4197543867472249,3.4074580145304547,0.05008413035153725
AMD,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,27,1.2925204788157958,1.259147416385957,2.5820142099732957,0.033373062429838715
AMGN,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,16,1.3851414301779144,1.3506020465483646,2.493563680722002,0.03453938362954978
AXP,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,13,1.3926869650933786,1.311448414004441,5.833224057172873,0.08123855108893761
BAC,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,17,1.4765056092179683,1.4275205457689584,3.3176347684147873,0.04898506344900992
BX,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,1.145745548102449,1.0901784609904752,4.849862799292775,0.0555670871119737
C,log_abs_return,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,1.4326429018771083,1.382172652612789,3.5228771383427775,0.05047024926431898
ABT,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,18,1.6165463063562908,1.5575750387497314,3.6479788654790353,0.05897126760655929
AMD,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,19,1.4162332824732167,1.3656636115434695,3.5707161775943885,0.05056967092974727
AMGN,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,1.565996213071277,1.554751477387245,0.7180563777979033,0.01124473568403186
AXP,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,1.4388802550788098,1.386551972134656,3.6367364663912016,0.052328282944153995
BAC,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,1.5606765975476167,1.4958142386400481,4.156040976682203,0.06486235890756813
BX,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,1.3752024240493863,1.3175922076391255,4.189217194703829,0.05761021641026089
